H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.173040527477195560e-01 1.047666974883173797e-09 3.221860006917732871e-17 1.609786736429165053e-14 1.313743399871114277e-04 1.329113960476959866e-05 4.858383454248972285e-04 3.907938850108734066e-08 4.477985955510644620e-05 2.546401176650472932e-07 1.248297040720890254e-05 5.203085313974164735e-07 3.866822263626288995e-05 1.087971940242700553e-07 1.891680464952020117e-05 6.029583226376844085e-08 4.259063282245698864e-06 6.725291435431846688e-08 3.842048845613095856e-06 2.973189931438049820e-10 3.705468692842194344e-08 2.012271608429830517e-09 2.970243949202796448e-07 1.416582716291751077e-07 3.333912684358470167e-05 4.698179566043181489e-08 2.533809717750114360e-06 3.167679128797012641e-09 1.122275390413710573e-08
1.000000000000000000e+00 3.172492998653790863e-01 1.047169219898320533e-09 2.420108067980368803e-19 2.194137392104408373e-14 6.344406383417700989e-05 3.562012850096672902e-06 3.682434932407147965e-04 1.606148465552430057e-09 1.003728413271211370e-04 6.414895091173819065e-07 3.460740410019473551e-05 1.358390245749457999e-06 3.588622596135425716e-05 1.252511673445380741e-07 1.593000507551234888e-05 2.646905197939197329e-08 2.630744045741355072e-06 9.919372077924050463e-09 2.097008273571016505e-06 8.946155790878930285e-11 4.146457951726460705e-08 3.686554871451166618e-09 5.689367900623220508e-07 1.622468831615873994e-07 3.496937638644606177e-05 4.147358958933841569e-08 1.142714514502470118e-06 5.081163976246855539e-09 2.677705171454813540e-08
1.000000000000000000e+00 3.172508528601506450e-01 1.047168334440262327e-09 2.421679861012836702e-19 2.194737931167826431e-14 6.305333922751202801e-05 3.560019815936782648e-06 3.616415059947776555e-04 1.598426799010905446e-09 9.288907202934856150e-05 6.003615392411502087e-07 3.477814934191459241e-05 1.351637502067817047e-06 3.587976268161302779e-05 1.286368354847346411e-07 1.547021175259403859e-05 2.785863817908144140e-08 2.520149492829093406e-06 1.024687074985645276e-08 1.983022787385340358e-06 8.993733077420965768e-11 4.448741333518152106e-08 4.606213322849962978e-09 5.144248629226930847e-07 1.534495768231299800e-07 3.703786653072248632e-05 5.584340153155992461e-08 1.343793861417344801e-06 5.517455205771609102e-09 4.393440379286226631e-08
1.000000000000000000e+00 3.172524965356041116e-01 1.047167233690016606e-09 2.422782574907013616e-19 2.195410299911901924e-14 6.266791941727584874e-05 3.558214186259694883e-06 3.550581734784539882e-04 1.590433013976495252e-09 8.534847805253715516e-05 5.587392657499861257e-07 3.494810373500472191e-05 1.344828256179247450e-06 3.584460865460007973e-05 1.319904316682582870e-07 1.498536278200856733e-05 2.922314456027424688e-08 2.404188588210773876e-06 1.055582459655505814e-08 1.863293600550242225e-06 9.037898819442226273e-11 4.745493035348596796e-08 5.470868031760900705e-09 4.580031597292463153e-07 1.442784952221581989e-07 3.904412223116837758e-05 6.957291452262769562e-08 1.536588342768702190e-06 5.948253083549796463e-09 6.055712116643111466e-08
1.000000000000000000e+00 3.172379634122864944e-01 1.054240165430676427e-09 2.102418971967984211e-19 1.949214360856926958e-14 7.862595620366765120e-05 2.847504191813385823e-05 3.736448381280243016e-04 8.924437492650883941e-09 1.040819626957757124e-04 6.982991418929568570e-07 3.575452331183294426e-05 1.412678879016497215e-06 3.668295694402232674e-05 1.310643754833638499e-07 1.619273539441499728e-05 2.687013494158775274e-08 2.652437524972100715e-06 9.742082716607839889e-09 2.116203235755887695e-06 8.613342882402020636e-11 4.214598532124116031e-08 3.717970079272706491e-09 5.732400917402931664e-07 1.550002177280725345e-07 3.484050525940498520e-05 4.152813461430893378e-08 1.125124997943728297e-06 5.053460100330782983e-09 2.749839135253291370e-08
1.000000000000000000e+00 3.172388609026493000e-01 1.054286252939701804e-09 2.102417460983382406e-19 1.949913556567988684e-14 7.819646920527427859e-05 2.844233742945609391e-05 3.671199277681046441e-04 8.938752788948910479e-09 9.667894213958463478e-05 6.572466887542173951e-07 3.592483614494794100e-05 1.405719826557703295e-06 3.669142472231530592e-05 1.344480209198363095e-07 1.573374456061909520e-05 2.826809019881996833e-08 2.541554274059336653e-06 1.007524983960977965e-08 2.002390666818644115e-06 8.666119673773872973e-11 4.515782576900939429e-08 4.637407033916570146e-09 5.188465464873328703e-07 1.462083064922007404e-07 3.691125245011265307e-05 5.591973810481099959e-08 1.326284651579951414e-06 5.490441713110652277e-09 4.468834207916670956e-08
1.000000000000000000e+00 3.172398068994468634e-01 1.054332893113300068e-09 2.102415638533191226e-19 1.950641178327337463e-14 7.776672192761519573e-05 2.840901141300187621e-05 3.606044501827980952e-04 8.952808296161245958e-09 8.918403775059588110e-05 6.156343659995045086e-07 3.609175385715836931e-05 1.398657373414537824e-06 3.667152375968918561e-05 1.377976592919566477e-07 1.525004734325853648e-05 2.964094566032445538e-08 2.425220982992149354e-06 1.038936610361264895e-08 1.882949135017046586e-06 8.715929130314424339e-11 4.811769084873921729e-08 5.502386553731513690e-09 4.625262092082579913e-07 1.370554243104203780e-07 3.892020786530865173e-05 6.967078935691017468e-08 1.519202179927290128e-06 5.921670735256753916e-09 6.134083130535855606e-08
1.000000000000000000e+00 3.173365658843060322e-01 1.055277059170914632e-09 5.578738585312588318e-17 1.754184556931877529e-14 1.192404848709281609e-04 2.511867114570443367e-05 2.181901638013292947e-04 8.348442641326952741e-09 4.311187368636486722e-05 2.774210990793866491e-07 1.203880298532132276e-05 4.048537992219619585e-07 2.765208178226848668e-05 6.728613487088442310e-08 1.008218714923036043e-05 2.011026999384938883e-08 1.928337855827340300e-06 1.477227357258987426e-08 1.633017411814587376e-06 5.554411687771712880e-11 2.555633771820715928e-08 1.276968675310693978e-09 2.492987166570545645e-07 1.166079730453082976e-07 3.283496986620209067e-05 5.145541707944010704e-08 2.528308370451073926e-06 8.701861592851225217e-10 7.584700722532606986e-09
1.000000000000000000e+00 3.172770657453934384e-01 1.054123330143705284e-09 2.357721147145776231e-18 1.029981538207587903e-14 1.663938753257377865e-04 4.663230222263420376e-05 6.661581843737942547e-04 5.406282077171521563e-08 4.829781107177368276e-05 2.733044185298961133e-07 1.314530603873455993e-05 5.869333756020595733e-07 4.472640220708747831e-05 1.217396686235810668e-07 2.282579761652400580e-05 6.748742880113048966e-08 5.158672371255297518e-06 6.449591927069616036e-08 4.912256667359959358e-06 3.764966279875241880e-10 3.850684562609215417e-08 1.719692889252849871e-09 2.937485830703662975e-07 1.219722843662534198e-07 3.309706002104561358e-05 4.608222900117290126e-08 2.566841430618909902e-06 4.728962028903597245e-09 1.461211177958272872e-08
