H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.235802563697078305e-01 1.023925343261569353e-09 1.164631449143972804e-15 1.060575269477067732e-12 6.311288467532734066e-04 6.914731158486686960e-05 2.181607130760017301e-03 1.028009881357443533e-07 2.519316385650608521e-04 1.863629053870249139e-06 7.093487351216259517e-05 3.758587657489142376e-06 1.973977674447583309e-04 6.651678931245181842e-07 1.007760959216538109e-04 4.046797865026109934e-07 2.403286394387534934e-05 5.227857924548522657e-07 2.323358229159678555e-05 2.577842764143665071e-09 2.135332779271746876e-07 1.267904421539250087e-08 1.553131729268406328e-06 8.056842728683343277e-07 1.799399892487096408e-04 2.969797633677785726e-07 1.351532689033414088e-05 2.398668065728280245e-08 7.258945017278459014e-08
1.000000000000000000e+00 3.231314781123878488e-01 1.021681888800015780e-09 2.640474976333213849e-17 1.074960833321324848e-12 3.094389941816571253e-04 2.257219503292594618e-05 1.850850223609254398e-03 1.173454696527969603e-08 5.043578812113612420e-04 3.541548271458121343e-06 1.766838871143570325e-04 7.147458049615098746e-06 1.874681033382445249e-04 6.214699243061347086e-07 8.321066359936770123e-05 1.415946766796957463e-07 1.384117669802913846e-05 5.952370552984371822e-08 1.105158989413849176e-05 5.509570508653732149e-10 2.215778895676639268e-07 2.067138592170720372e-08 3.036993253576615436e-06 9.026165871513764071e-07 1.863128621191305616e-04 2.414028283884670634e-07 6.153518412866643365e-06 3.019316045390823662e-08 1.540220460510689754e-07
1.000000000000000000e+00 3.231312659300175083e-01 1.021686426644717450e-09 2.641617327833950527e-17 9.417243467013717755e-13 3.073412261514242854e-04 2.242992784526339449e-05 1.816525314699528413e-03 1.161702193699086461e-08 4.661660077534471986e-04 3.284077115130400008e-06 1.770461517667231159e-04 7.069714209911409598e-06 1.869009760407591909e-04 6.408096715858415531e-07 8.083647397622795920e-05 1.489901307346374533e-07 1.328011443421147932e-05 6.119667071566580942e-08 1.046619455318225427e-05 5.548485084979851598e-10 2.348865029480432914e-07 2.471267120324827746e-08 2.756749969783406908e-06 8.571122472394060027e-07 1.952560747296831507e-04 3.065734353681474566e-07 7.084463217972086748e-06 3.196653272821280060e-08 2.326697165046744131e-07
1.000000000000000000e+00 3.231315981635232704e-01 1.021689990380208783e-09 2.642037413817093698e-17 8.024352934621267794e-13 3.052660727751114046e-04 2.228847136144158529e-05 1.782200924378765866e-03 1.149729575883084237e-08 4.275470942714531836e-04 3.027804560401641072e-06 1.774665333363524154e-04 6.994774769830472382e-06 1.862239805360248884e-04 6.599055184147576551e-07 7.833043279364326685e-05 1.562473557674526667e-07 1.269553679320789555e-05 6.288449350916579577e-08 9.853145944227543920e-06 5.579891413807598103e-10 2.479338713080635904e-07 2.852588766352601260e-08 2.463954448776153627e-06 8.088833061441004240e-07 2.039399480984916291e-04 3.687706763976603196e-07 7.974361874847702759e-06 3.368587236574995845e-08 3.089949874440373300e-07
1.000000000000000000e+00 3.234009535390743317e-01 1.044972652376196021e-09 2.629463350722282287e-17 8.566710993939559589e-13 3.887366048543567992e-04 1.737016070504043656e-04 1.759522888306623697e-03 4.006848067455598183e-08 5.059441711248565060e-04 4.007134217658468233e-06 1.749367102508834365e-04 7.372483595721326511e-06 1.833048511151494061e-04 5.975038858725616809e-07 8.030877721038009694e-05 1.274577571413152654e-07 1.307353787436277767e-05 5.234161947646744206e-08 1.046160672273344367e-05 4.864432886769708307e-10 2.139870482790494303e-07 2.025572714853666562e-08 2.928220827011873742e-06 8.353606912704977507e-07 1.844009518038030194e-04 2.552969624812592994e-07 6.333253119523752527e-06 2.990855813648076913e-08 1.583321848165714955e-07
1.000000000000000000e+00 3.234007474531289117e-01 1.044998792161273631e-09 2.629438409220516816e-17 8.297360171934296386e-13 3.868002761779615458e-04 1.732240606098919497e-04 1.724096427018148320e-03 4.002721392499349916e-08 4.669586512382122392e-04 3.712158765749194748e-06 1.749274674941896958e-04 7.263128016645660133e-06 1.831192652100754783e-04 6.194928009530130641e-07 7.837369426519828579e-05 1.356027083557442024e-07 1.262304789216338225e-05 5.454349745777813285e-08 9.977575566321081042e-06 4.949863858586250454e-10 2.257812229833357552e-07 2.374817369790503217e-08 2.666247293057977198e-06 7.920220082895068607e-07 1.918262697510465895e-04 3.147741892536394707e-07 7.214763616640689039e-06 3.131947910092255413e-08 2.298346957160128041e-07
1.000000000000000000e+00 3.234012336037357382e-01 1.045026910901526103e-09 2.629407902622566425e-17 7.942591607124348390e-13 3.848840519431701935e-04 1.727343901782215361e-04 1.688944954837329811e-03 3.999042253176113497e-08 4.268643384857717443e-04 3.411782435306639917e-06 1.749565790172860863e-04 7.153062277885401446e-06 1.828005788459315258e-04 6.410499028165331452e-07 7.624573308316570403e-05 1.435053745052141451e-07 1.212209272499445122e-05 5.660303852436448720e-08 9.440073299319057262e-06 5.020115402846037332e-10 2.360317961237594612e-07 2.675841803179608294e-08 2.384202993321127693e-06 7.457951096284900432e-07 1.984635648963441797e-04 3.673211730553609117e-07 7.967493429639561692e-06 3.256971585613891370e-08 2.924706880528633051e-07
1.000000000000000000e+00 3.238434255393928263e-01 1.046803906965544987e-09 1.602809718373557112e-15 1.092966113216977289e-12 6.067349861060381292e-04 1.546512651140904916e-04 1.156665449306939391e-03 3.779509236713461703e-08 2.393993787068448848e-04 1.901267885597562668e-06 6.926004430923619578e-05 3.224957975480415231e-06 1.439778546641270617e-04 4.907208589227574595e-07 4.989953879088728991e-05 1.286575484332899248e-07 8.999731441793155313e-06 7.489214845813685496e-08 7.284059855957204850e-06 4.838262038697346447e-10 1.390240961847776621e-07 7.928444948766285241e-09 1.294989313389207590e-06 6.730643071596303200e-07 1.748852556406774129e-04 2.990139116717436359e-07 1.330862915583011593e-05 7.619075327565535284e-09 4.136047929305529932e-08
1.000000000000000000e+00 3.237764513272251565e-01 1.049277733130975750e-09 2.618158609158101099e-16 9.476233035250752570e-13 8.768433959526507468e-04 2.971270583369385273e-04 3.382286311912545678e-03 2.266892758918692773e-07 2.606200402857680298e-04 2.176430802081633818e-06 7.075472156637202200e-05 4.306007752448305000e-06 2.584825346641703419e-04 9.998642885723867475e-07 1.587744079153391018e-04 7.248993656301936365e-07 3.949463198392073339e-05 9.043339533298696672e-07 4.076231275132809098e-05 5.917658607252383758e-09 2.694194757923796166e-07 1.700712272401736355e-08 1.720058664333210515e-06 8.253300152530570164e-07 1.790721912831550692e-04 3.192302249214897894e-07 1.390682945550530619e-05 5.295622754395154627e-08 1.305867900447680033e-07
