H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.362087951180269818e-01 9.650820107771899528e-10 1.393352852314950596e-14 5.639287837561504452e-12 1.586433688496119866e-03 2.048923494616290708e-04 4.985696310200055277e-03 2.387360006596160297e-07 6.326864321645375884e-04 7.156385356580185834e-06 1.883216383425917863e-04 1.260055437704808870e-05 4.980031881134528837e-04 2.275736940477914027e-06 2.639611125504408664e-04 1.346804777015689413e-06 6.325876690763645907e-05 1.608077959258239691e-06 6.056026533600342268e-05 1.025250280193094351e-08 6.374691457416908730e-07 5.110800718156479023e-08 4.820990902630817109e-06 3.112581190805949115e-06 5.278684329904443024e-04 9.911140016635965214e-07 3.756771148797801151e-05 1.399044050572235805e-07 3.069959871877180495e-07
1.000000000000000000e+00 3.351635291527557681e-01 9.598427472399655933e-10 5.050963225955597725e-17 4.888634881386471606e-12 8.096374383200646927e-04 9.528675503564004365e-05 3.938629299483690366e-03 5.619786266837259603e-08 1.091507764108909416e-03 1.047784126827904491e-05 3.974980881364339504e-04 1.857235128332330299e-05 4.694909179230029404e-04 1.470702522409317446e-06 2.108759947451978236e-04 4.099473970158117979e-07 3.608144961090670812e-05 2.155257201702600120e-07 2.880729836859274211e-05 2.121449907167808610e-09 6.002085002551445457e-07 6.243350742125576926e-08 8.190086570763183393e-06 2.982718698633660800e-06 5.294484433931505004e-04 8.158620074522447896e-07 1.863203624901212715e-05 1.106142958542553839e-07 4.979607634457143569e-07
1.000000000000000000e+00 3.351611496325610506e-01 9.598134395656723151e-10 5.063441390522604293e-17 3.544586152428763983e-12 8.038084663617228254e-04 9.353185001488474191e-05 3.842725742480945176e-03 5.455142556610425600e-08 1.002636782055760971e-03 9.468766254324376841e-06 3.946010647595416540e-04 1.797350913345160741e-05 4.658028368384038807e-04 1.522280307546802171e-06 2.057970939909724436e-04 4.258839345526157058e-07 3.498066963603461136e-05 2.200491572778361516e-07 2.762468869528900440e-05 2.147884339988468822e-09 6.133447196861190580e-07 6.689772611613912914e-08 7.592398134827741500e-06 2.881746717738725209e-06 5.373022158244494849e-04 9.011460171717022574e-07 1.992173457001232521e-05 1.084983202108000367e-07 6.045245977791796416e-07
1.000000000000000000e+00 3.351594559480698399e-01 9.597815608908396979e-10 5.068201933898500990e-17 2.004035210486748285e-12 7.981012253195591882e-04 9.177516675235454068e-05 3.746907453093273246e-03 5.286065711728953813e-08 9.119094980915245412e-04 8.471615471031987592e-06 3.918563707339748747e-04 1.738405140277194329e-05 4.619702322383869111e-04 1.571134210696458322e-06 2.003762334309116112e-04 4.411194732170086395e-07 3.378276469484241701e-05 2.243870016395030590e-07 2.632700815848404782e-05 2.168128515987241860e-09 6.240078887510211297e-07 7.098042951225775846e-08 6.933333047339514829e-06 2.771395579142779266e-06 5.440937914675314296e-04 9.836397838970436708e-07 2.112278770943657667e-05 1.065614381707279057e-07 7.066149168358192281e-07
1.000000000000000000e+00 3.360045249405369527e-01 1.036045610535599076e-09 5.041813001689418257e-17 4.188248235889889952e-12 1.099749433977277851e-03 5.156336802314911852e-04 3.628710461322841741e-03 1.469858051916152614e-07 1.116216411436692394e-03 1.209237919599917411e-05 3.872524044362890224e-04 1.885967587755329599e-05 4.343561619579140937e-04 1.473726393988920806e-06 1.924317026437750739e-04 3.227937370367168639e-07 3.100122959035352078e-05 1.526672394870927218e-07 2.479136837564273419e-05 1.497098805957318541e-09 5.252979028102477738e-07 5.526152536853566387e-08 7.352691468657608318e-06 2.633936102680500110e-06 5.210104348986526000e-04 8.810316638415974236e-07 2.088945348063628806e-05 9.675382117188823043e-08 4.755059852261850557e-07
1.000000000000000000e+00 3.360053923011077082e-01 1.035825694835686240e-09 5.041626593398896686e-17 3.302010858679277465e-12 1.094487549569415907e-03 5.148364577777862338e-04 3.531013033408641685e-03 1.460169699376429434e-07 1.026015063863090944e-03 1.103135233643557384e-05 3.836471448417650277e-04 1.822487633716144090e-05 4.325397128180438083e-04 1.527510855718056593e-06 1.890480498831456928e-04 3.422953576682212019e-07 3.027989580373085528e-05 1.599507300071717757e-07 2.392958714512048433e-05 1.551203435562578230e-09 5.381421955940891576e-07 5.904202762020957987e-08 6.812482164484322945e-06 2.539926998434729836e-06 5.263089751991625962e-04 9.588477007526515149e-07 2.210487708072908676e-05 9.516531222538041822e-08 5.730445081654650763e-07
1.000000000000000000e+00 3.360078283210561345e-01 1.035606197273103295e-09 5.041408743706972410e-17 2.111923870054382404e-12 1.089268385498567970e-03 5.139788994876888723e-04 3.433044584994368164e-03 1.449256264829116978e-07 9.326021002973562896e-04 9.949275038094628883e-06 3.801223388000999986e-04 1.758564604374643177e-05 4.302673055162841657e-04 1.579072064861463147e-06 1.850079570886145239e-04 3.608399503336810835e-07 2.939570668135327248e-05 1.667658707810282001e-07 2.290339790871166395e-05 1.598242422825760932e-09 5.461066990298425600e-07 6.201007473074829494e-08 6.207262083837468724e-06 2.436802610731773416e-06 5.295591023603909726e-04 1.026435795381585555e-06 2.307026650373794627e-05 9.330157324755718120e-08 6.551556168043226116e-07
1.000000000000000000e+00 3.366580423849572234e-01 1.036466699491187786e-09 1.121549075603400437e-14 4.479691725286962258e-12 1.620951267387952524e-03 4.746654167051002587e-04 2.865368497691580738e-03 1.273522531226037102e-07 6.388924183528798531e-04 6.469890687504267808e-06 1.851732494838583877e-04 1.095775918791988859e-05 3.607882553741149911e-04 1.591181944832892628e-06 1.311577930840479155e-04 4.236997637032113613e-07 2.286888483866143952e-05 2.124315025024331298e-07 1.802090978897452077e-05 2.238240038404904290e-09 3.794266116901195034e-07 2.540192017536732150e-08 3.687519071571990437e-06 2.332063911378608201e-06 4.964997313488066742e-04 9.070915371626606819e-07 3.547726929945737374e-05 4.056425159012923978e-08 1.263946988821416995e-07
1.000000000000000000e+00 3.369378312272268694e-01 1.050106354650767863e-09 3.696561932443558093e-15 4.433965117750295833e-12 2.486872548049200854e-03 7.203534333832347552e-04 8.004692272996133395e-03 5.239729976399029698e-07 6.064847709040608725e-04 7.810797495392003196e-06 1.811047790290908218e-04 1.258947036383222478e-05 6.452917819271924678e-04 3.514430219102143496e-06 3.748127183440668224e-04 2.170330645642661145e-06 8.449969082517346571e-05 1.966016079767928424e-06 7.876241682398365650e-05 2.005137064484888018e-08 7.396507585401712069e-07 7.143499139299553184e-08 5.816004482262238693e-06 3.627037815008659873e-06 5.406663319875547194e-04 1.258303297178059541e-06 4.239838345872927038e-05 3.482827751888500723e-07 6.291405833523118977e-07
