H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.355591754165302421e-01 9.627191680788144887e-10 1.176194933348308386e-14 4.331586220684606788e-12 1.544048391504113755e-03 1.950871448225451076e-04 4.771251815099858927e-03 2.283336765818629049e-07 6.043073285865900113e-04 6.668131972825699669e-06 1.793646646174517029e-04 1.182071734898772681e-05 4.765009468760059695e-04 2.123378380267100192e-06 2.533422081602806127e-04 1.270122405669592657e-06 6.079472676815613500e-05 1.531613790739086141e-06 5.826987368896281168e-05 9.552872034833654376e-09 6.090531151120119427e-07 4.815334738408692042e-08 4.681373610443596623e-06 3.056667218704235667e-06 5.168029634523719357e-04 9.448082970743167295e-07 3.632638868032738209e-05 1.261864167394464911e-07 2.837501556476641186e-07
1.000000000000000000e+00 3.345690064080838466e-01 9.577280006150438825e-10 2.494276268104358709e-17 3.884488974789642835e-12 8.061916467195434166e-04 8.987125401319141543e-05 3.795805451550432648e-03 5.472189288725769876e-08 1.050784318022995444e-03 9.862423427920791064e-06 3.820057648817278733e-04 1.764432268028347640e-05 4.495739225968455326e-04 1.404802482961902457e-06 2.026418956911046866e-04 3.934920960335899830e-07 3.474415167375340921e-05 2.072686575115538500e-07 2.775289843080017200e-05 2.020573547518887963e-09 5.773552043745821060e-07 5.995985933550054583e-08 7.932123435520889931e-06 2.975468221141840279e-06 5.196350540204136385e-04 7.865971552508070569e-07 1.838496924642715595e-05 1.034677555501575426e-07 4.692157014142522476e-07
1.000000000000000000e+00 3.345654808461253071e-01 9.577041383720690027e-10 2.505707771678434156e-17 2.667237287070733149e-12 8.007927147790824254e-04 8.828430612379285639e-05 3.705334737407299083e-03 5.327057463784616108e-08 9.660988311011671405e-04 8.941462966766568611e-06 3.794595778230315693e-04 1.710702388925337594e-05 4.461975414980588056e-04 1.452709035056705610e-06 1.978093661013515349e-04 4.086979089200340402e-07 3.368772502752378784e-05 2.114788175707193204e-07 2.661769736567943371e-05 2.042929066316422756e-09 5.910160165047406945e-07 6.451467137033691625e-08 7.358617981401457248e-06 2.878262950266560951e-06 5.279379793496642151e-04 8.722085010316446363e-07 1.967208164166112772e-05 1.020270183561474204e-07 5.758451565265739822e-07
1.000000000000000000e+00 3.345623000849086703e-01 9.576783469424116898e-10 2.510079414411366574e-17 1.277728261470134546e-12 7.955036425714902965e-04 8.669434806213203407e-05 3.614958965956794733e-03 5.177730588628579304e-08 8.796946053163295963e-04 8.030451682542091220e-06 3.770648436039688873e-04 1.657833693112337499e-05 4.426619153564156201e-04 1.498353321708930469e-06 1.926355983579572861e-04 4.232897435541617713e-07 3.253963423051651560e-05 2.155597645135215826e-07 2.537434925405776388e-05 2.059755963280279145e-09 6.024047427514885743e-07 6.869456020555423604e-08 6.728083445105217574e-06 2.772150419097944685e-06 5.352602131637381475e-04 9.547163631224702743e-07 2.087305959726717280e-05 1.007088123161541989e-07 6.781187950787517333e-07
1.000000000000000000e+00 3.354192597118781927e-01 1.032870656694715328e-09 2.471900454517007460e-17 3.248972381674801269e-12 1.110825048707086288e-03 4.955753557879087352e-04 3.508875304122667863e-03 1.491587360814716930e-07 1.077484364429940732e-03 1.145648237858135402e-05 3.726496801121904315e-04 1.793871821975039665e-05 4.175461942777991195e-04 1.405474943088229899e-06 1.860335614847887572e-04 3.082852538903123624e-07 3.001377047051600604e-05 1.457725179222412534e-07 2.402524406094860333e-05 1.398588172823899425e-09 5.054749975246650261e-07 5.297042822948365984e-08 7.149832456098481690e-06 2.641620786812097132e-06 5.118319112865426720e-04 8.469350214452286578e-07 2.044123717845516928e-05 9.019447814247366185e-08 4.474429151987616027e-07
1.000000000000000000e+00 3.354203954837927659e-01 1.032657965461572326e-09 2.471817446649544346e-17 2.444919557511360762e-12 1.106201960528753556e-03 4.947448004213172035e-04 3.416713519149346383e-03 1.483531060004915363e-07 9.914559200386789499e-04 1.047700218314885227e-05 3.694518300493618962e-04 1.736314211052632881e-05 4.158330474068748679e-04 1.456258190898260749e-06 1.826944570129701746e-04 3.268332833813736397e-07 2.930225342993739713e-05 1.525506380125584126e-07 2.318509951902002111e-05 1.447513255477453222e-09 5.187406423300001694e-07 5.686452241463750351e-08 6.630237359817099814e-06 2.551592243684966934e-06 5.176926358945336875e-04 9.251117757343412324e-07 2.165680221898713570e-05 8.906407330072913112e-08 5.452321332059387772e-07
1.000000000000000000e+00 3.354230946302748095e-01 1.032445382004068561e-09 2.471720103159971636e-17 1.370989919944224794e-12 1.101635884136635980e-03 4.938537413367339061e-04 3.324404602436099258e-03 1.474468824852612369e-07 9.023862253451363528e-04 9.477944541838549940e-06 3.663355753929761261e-04 1.678369460024062155e-05 4.137106336761582257e-04 1.505078750714645079e-06 1.787517115832931811e-04 3.445281381414784283e-07 2.843934639239685221e-05 1.589040619560142057e-07 2.219089805994641136e-05 1.489990478580697458e-09 5.274093485789840240e-07 5.995419261043126425e-08 6.049438561140513090e-06 2.453047779316697839e-06 5.216067413998417808e-04 9.929811113349549920e-07 2.262729793778767691e-05 8.766282006631652992e-08 6.277126141164603136e-07
1.000000000000000000e+00 3.360797538899925052e-01 1.033066580497987230e-09 9.741170203931340824e-15 3.400777647248895663e-12 1.611296121814347147e-03 4.551550136123248651e-04 2.734541377518268871e-03 1.321785602215941164e-07 6.094566001484552110e-04 6.118441915105506687e-06 1.761242693817395132e-04 1.023586303817105034e-05 3.455040353978559831e-04 1.490902300092727947e-06 1.264448890162528914e-04 3.957270199784358649e-07 2.209797650484378152e-05 2.013834043365880305e-07 1.745841204008025558e-05 2.022876674226135027e-09 3.630380028152426943e-07 2.430442411481061756e-08 3.623970326016805222e-06 2.342826804451330993e-06 4.880331498311227907e-04 8.713395928870005887e-07 3.444494099052037146e-05 3.633157345767429837e-08 1.181247330694147387e-07
1.000000000000000000e+00 3.362741455364299803e-01 1.048299706195073965e-09 3.102999460743468500e-15 3.333084483209850711e-12 2.406740000686226344e-03 7.008500790040202719e-04 7.649527333459190531e-03 5.093038762192006050e-07 5.876153171059069532e-04 7.390962831901801676e-06 1.733452878396344937e-04 1.196879484581655364e-05 6.180859853596355627e-04 3.278723743403222721e-06 3.631887070136285978e-04 2.055454868299720731e-06 8.252096168294228051e-05 1.923809861490527148e-06 7.777389663565569900e-05 1.878986709390017875e-08 7.065697965137398369e-07 6.602932686479526112e-08 5.550918355941467234e-06 3.480286471064715965e-06 5.284072343225217246e-04 1.185814337298987130e-06 4.063508115951277840e-05 3.090261910545960465e-07 5.694800762340677602e-07
