H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.242864243131357571e-01 1.018321887635102000e-09 1.431101712120633448e-15 5.318488111337323141e-13 6.754897178965948556e-04 7.658436210590706460e-05 2.362563406537839666e-03 1.090496297402853732e-07 2.742527870128709457e-04 2.101866687925422154e-06 7.759995035320330537e-05 4.203755789150072131e-06 2.155123487783622358e-04 7.460262111913319683e-07 1.106222198426623840e-04 4.577512190461652619e-07 2.648232386584434126e-05 5.934080901502574223e-07 2.567429579799362119e-05 2.987218849743380031e-09 2.357548418623719609e-07 1.419941728492979591e-08 1.675577427091866503e-06 8.591774797271757819e-07 1.935644738544603006e-04 3.258795566081656141e-07 1.465255286651694593e-05 2.785470023535306477e-08 8.222750628537476514e-08
1.000000000000000000e+00 3.237895740884004225e-01 1.015886546591392627e-09 2.169615303292635005e-18 6.000860776083050216e-13 3.254212596241750233e-04 2.566313033166333014e-05 1.988427422295936577e-03 1.223233019952597189e-08 5.416729219433297172e-04 3.897861963721822596e-06 1.912001485660942809e-04 7.812538268841554828e-06 2.042168706602525373e-04 6.709227248626664854e-07 9.036124420474550719e-05 1.541660321727974104e-07 1.502507404569977555e-05 6.593064408700074147e-08 1.200023055950194781e-05 6.179569474891551484e-10 2.419098906873306008e-07 2.280553093336343687e-08 3.295944551479052192e-06 9.572658741065410845e-07 2.000737486393920628e-04 2.664254925351788582e-07 6.574302362942877888e-06 3.372620675483721584e-08 1.725173254796354470e-07
1.000000000000000000e+00 3.237877648116028739e-01 1.015892699142131531e-09 2.186565512400868270e-18 4.076863732678065825e-13 3.231813760983818433e-04 2.547237697308341799e-05 1.951074596521591362e-03 1.205759389987839528e-08 5.005200984649590176e-04 3.607872575751503668e-06 1.914416817580574099e-04 7.715622596683467172e-06 2.034845738061471609e-04 6.921852500032631754e-07 8.781782340842030782e-05 1.621946922889378659e-07 1.442644767816622429e-05 6.776610460856416787e-08 1.137320268273525086e-05 6.228420278714081037e-10 2.555712893170764296e-07 2.695550515624003239e-08 2.994751137759998400e-06 9.082528304500176387e-07 2.092012660727077353e-04 3.340266078612364798e-07 7.545967548180726190e-06 3.548054998709989405e-08 2.543522557735803399e-07
1.000000000000000000e+00 3.237863781543035557e-01 1.015897872393511623e-09 2.192834234517301104e-18 2.033417101928662702e-13 3.209696551683938713e-04 2.528156359364772766e-05 1.913746091482980503e-03 1.187746077364553175e-08 4.588737540334433189e-04 3.319574142090081486e-06 1.917537571369341408e-04 7.622299356431722159e-06 2.026297629517990020e-04 7.131781840607094597e-07 8.512371319973613057e-05 1.700744151081490225e-07 1.380148409940606668e-05 6.963746024089843786e-08 1.071482014907829594e-05 6.267444357373964190e-10 2.689034275603467811e-07 3.086989593132850887e-08 2.678575351387318644e-06 8.560552545384760431e-07 2.180477113373643320e-04 3.984819033007109104e-07 8.473205372731724700e-06 3.717386685382086036e-08 3.337461449984369854e-07
1.000000000000000000e+00 3.240545409490985795e-01 1.042549151224376014e-09 1.993274786052678264e-18 3.083708170478330930e-13 4.032288511703353276e-04 1.976592625140000798e-04 1.885917514791959904e-03 4.078531206414526027e-08 5.440832314098187177e-04 4.397197006691309705e-06 1.890857820846526783e-04 8.053290190986484037e-06 1.986338346845271236e-04 6.482052638955447750e-07 8.667606905392701358e-05 1.376309031627277501e-07 1.406479408231297944e-05 5.688559437872173204e-08 1.125302810293041081e-05 5.375831764648079254e-10 2.316968075569753833e-07 2.211785547203029564e-08 3.151481930599119228e-06 8.724734384279477338e-07 1.971982144864514318e-04 2.815617573995111981e-07 6.817425292626357144e-06 3.319538001320517333e-08 1.761322982586342851e-07
1.000000000000000000e+00 3.240535887357403055e-01 1.042553785390878088e-09 1.993250962898145281e-18 2.561855921556057068e-13 4.010396766224273647e-04 1.970740328662940410e-04 1.847245072566087868e-03 4.067301144284418707e-08 5.019319916600589217e-04 4.066167260081504429e-06 1.889375481132884234e-04 7.922978966803057041e-06 1.983598125095260530e-04 6.721182053499092703e-07 8.462267947283833610e-05 1.464752333036606411e-07 1.359036632115399869e-05 5.934011800207782993e-08 1.074024181704446887e-05 5.479490851390397685e-10 2.438972816240863486e-07 2.571758396709332799e-08 2.870863573157292970e-06 8.259592893449951768e-07 2.047733758169800473e-04 3.433954029937932253e-07 7.738461302849952798e-06 3.455545275749593912e-08 2.508073518383598922e-07
1.000000000000000000e+00 3.240532107318000454e-01 1.042561972687169687e-09 1.993222970757810875e-18 1.922707713676998985e-13 3.988680779055922727e-04 1.964697621787538995e-04 1.808777505614837886e-03 4.056550873759362637e-08 4.585202009126713952e-04 3.728775995027704375e-06 1.888288212483515114e-04 7.791804189372314535e-06 1.979454906904261336e-04 6.955573680639073628e-07 8.235642416687322445e-05 1.550529492461361335e-07 1.305977363836176202e-05 6.163596381251527761e-08 1.016792851343600351e-05 5.564867623130725985e-10 2.543604727856222918e-07 2.880445325228469677e-08 2.567551207528749646e-06 7.762122174677964268e-07 2.114841485084009264e-04 3.978590217726752991e-07 8.519346902849837469e-06 3.574375955883715853e-08 3.159163397486007773e-07
1.000000000000000000e+00 3.245148340085540206e-01 1.044201363138839645e-09 1.839150238264256998e-15 5.412872574047114601e-13 6.384879470584780550e-04 1.761410612991950151e-04 1.257273300900048308e-03 3.714725134697187203e-08 2.593005274308551357e-04 2.063622473333949221e-06 7.563533756032973527e-05 3.576938426436685144e-06 1.564415336829070051e-04 5.426339653268975089e-07 5.390906304480456063e-05 1.410357942492591253e-07 9.677453034278315312e-06 8.117731277710437520e-08 7.816389429404176079e-06 5.457076493795472763e-10 1.506714169943693123e-07 8.544356240759039803e-09 1.376370322135932680e-06 6.972540731318266274e-07 1.867443414596618690e-04 3.241945598513697169e-07 1.434938719709781053e-05 8.580614645112846169e-09 4.521540197445967427e-08
1.000000000000000000e+00 3.244668966516397468e-01 1.047585454379821147e-09 3.151239199555212267e-16 3.950848441081751001e-13 9.431037046986825859e-04 3.310395175684814400e-04 3.672894722982738246e-03 2.383284195017806500e-07 2.810967692704117961e-04 2.412663414070792316e-06 7.715448915198189987e-05 4.755682079076492954e-06 2.817146704562476151e-04 1.122329326038286427e-06 1.724655634941069083e-04 8.083228267722869041e-07 4.264626937897506362e-05 9.836329460963013663e-07 4.373388690153673223e-05 6.686985210398942434e-09 2.953713175899281566e-07 1.915501667401818962e-08 1.868314826439702177e-06 8.854008109429288302e-07 1.919899945362812856e-04 3.560229607570280451e-07 1.514409056277195179e-05 6.279817536211229293e-08 1.501359088003431667e-07
