H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.312733155411637376e-01 9.824703600490567432e-10 6.013904115092346632e-15 1.988187062440141440e-12 1.218971657478347273e-03 1.458071124077312301e-04 3.884895128528766377e-03 1.821178272378987566e-07 4.791621155031263140e-04 4.662104493423961063e-06 1.393392429603331015e-04 8.632568099211349703e-06 3.776913502959905510e-04 1.544402329259341653e-06 1.998868354637420286e-04 9.451179553915270852e-07 4.812600632419183449e-05 1.184583602730085094e-06 4.651342443400071529e-05 6.833645820272009518e-09 4.584275674136571407e-07 3.301578320613835481e-08 3.434801851759840822e-06 2.108546432570854141e-06 3.874312682624612742e-04 6.823101577983492127e-07 2.774066385061639705e-05 7.780272202412284585e-08 1.912245802735986616e-07
1.000000000000000000e+00 3.304573283232618564e-01 9.784214172697736897e-10 2.206349390442647027e-18 2.190224931669825009e-12 6.283309571250384829e-04 5.974439256833856355e-05 3.147307892830992094e-03 3.644671870417618681e-08 8.667497855701048349e-04 7.360163644998773925e-06 3.127171176189697476e-04 1.375296157481640934e-05 3.565025676736896542e-04 1.102785129863598585e-06 1.594964641049175208e-04 2.882629160096901147e-07 2.705636790222845376e-05 1.439316451438660354e-07 2.166556609382084720e-05 1.372529106457116554e-09 4.446396672407375099e-07 4.507708544704184548e-08 6.148238661746575914e-06 2.151159335120222162e-06 3.934854296704031569e-04 5.755765200041447428e-07 1.356236229822558963e-05 7.210768630176465797e-08 3.478964914821522383e-07
1.000000000000000000e+00 3.304504310347148310e-01 9.784179649009504476e-10 2.283161147718844533e-18 1.383387111640402606e-12 6.245294691880638044e-04 5.891345708436505755e-05 3.078123198380538442e-03 3.563045319403204504e-08 7.983675557915119025e-04 6.723430764319046049e-06 3.113912514941888647e-04 1.341770673026816125e-05 3.542240779358470548e-04 1.140274496108474781e-06 1.555887710664844944e-04 3.013497798688973831e-07 2.617666014224165349e-05 1.474296329108215220e-07 2.071842430934869435e-05 1.388606370748023136e-09 4.594153238872180913e-07 4.969850748979382279e-08 5.672475650381628874e-06 2.071454044376248795e-06 4.027883001385987685e-04 6.579405977554448321e-07 1.478692442736271605e-05 7.259967075667254012e-08 4.494158722810503672e-07
1.000000000000000000e+00 3.304435095031271752e-01 9.784138057656239287e-10 2.311621569111984490e-18 4.774211856158037116e-13 6.208347475019396992e-04 5.808813356578624909e-05 3.009256316874358000e-03 3.477843186571076213e-08 7.287656740189484353e-04 6.092689540439455817e-06 3.102247686798080680e-04 1.309085431374147238e-05 3.517634765866124052e-04 1.176955828958142050e-06 1.513780439812447798e-04 3.141565935805573131e-07 2.523030120142411372e-05 1.509840978251122690e-07 1.969188207335468739e-05 1.401405242663205295e-09 4.727432640384228089e-07 5.399922165169700537e-08 5.155477489096676948e-06 1.984785707635689298e-06 4.114518040407069135e-04 7.366578481599855274e-07 1.594045665851508264e-05 7.309081399384220556e-08 5.472774852847609328e-07
1.000000000000000000e+00 3.311529081359234628e-01 1.033225593930686541e-09 1.923115234381897284e-18 1.810352481573292389e-12 8.580435340133576875e-04 3.796443444477293986e-04 2.926825281633108414e-03 1.103145436062204236e-07 8.880191859160269140e-04 8.675880197657108119e-06 3.062736275877233532e-04 1.410290986119003204e-05 3.356768351627647130e-04 1.094844457907306220e-06 1.481167652642991167e-04 2.391429204933810882e-07 2.399657339963550055e-05 1.097661321206251356e-07 1.922599202446628581e-05 1.040163756682758058e-09 4.018500216844792102e-07 4.118474350699756797e-08 5.650758382463534735e-06 1.932766426473574341e-06 3.876320715721244797e-04 6.191840760349241001e-07 1.496953478660303428e-05 6.667341113240863982e-08 3.427199645185782562e-07
1.000000000000000000e+00 3.311514378899440003e-01 1.033101352943545677e-09 1.923068920937543515e-18 1.240969493723415133e-12 8.542837404294061077e-04 3.786355578101930513e-04 2.854826705950620422e-03 1.096906721959201110e-07 8.178767454431751108e-04 7.965914289711195008e-06 3.043072221206791347e-04 1.371818354758045975e-05 3.343483509012425158e-04 1.135357968405452183e-06 1.451395572745154002e-04 2.540866866502646160e-07 2.335295386503396909e-05 1.148436724204000878e-07 1.849216008066758540e-05 1.072999323974671486e-09 4.153784444573021014e-07 4.512196698535720054e-08 5.215756711320304120e-06 1.858668783092883131e-06 3.947031407941120379e-04 6.934727471764615673e-07 1.611076250386235070e-05 6.674863384880029787e-08 4.349920738829312708e-07
1.000000000000000000e+00 3.311509009605363429e-01 1.032960465853916353e-09 1.923013926280279528e-18 5.291691435369605687e-13 8.505873964694785376e-04 3.775118100307950689e-04 2.782976094301383482e-03 1.090174017498944030e-07 7.452775989551341067e-04 7.240877975488069527e-06 3.024132718123539489e-04 1.333144334169436495e-05 3.327753495169256536e-04 1.174783242399732579e-06 1.417468121227135551e-04 2.685184937459202001e-07 2.259901370627619068e-05 1.196348995957706851e-07 1.764232552340120138e-05 1.101320957658131552e-09 4.253665955299514969e-07 4.833993452419900541e-08 4.733337670149437493e-06 1.778199148395038439e-06 4.002403506582089617e-04 7.580981214885167816e-07 1.703751909297322915e-05 6.659453696497601786e-08 5.134769401954749086e-07
1.000000000000000000e+00 3.317372643891473016e-01 1.033444661607798791e-09 5.662011559273313554e-15 1.638412854200195062e-12 1.264217639255439804e-03 3.420143132220272763e-04 2.182655174372269153e-03 9.930272469608731243e-08 4.757128698963517715e-04 4.445990726911721597e-06 1.370345075136313701e-04 7.450595091933383251e-06 2.729506935995125081e-04 1.093704754105313611e-06 9.754243941223708788e-05 2.867961599310466947e-07 1.722757380194951055e-05 1.517408368645449789e-07 1.368704821379572633e-05 1.348742788015049072e-09 2.778122006945396576e-07 1.759540285070686547e-08 2.718477910316060196e-06 1.663081858357652307e-06 3.684388103321066575e-04 6.423227186908324584e-07 2.656959916142699813e-05 2.296346852343947027e-08 8.705931102212409239e-08
1.000000000000000000e+00 3.317891149382280469e-01 1.044422204722108464e-09 1.545131975392668298e-15 1.485469171062904283e-12 1.849430598370504835e-03 5.687952117420405455e-04 6.148100816741137488e-03 4.104618924075172042e-07 4.760450367089046606e-04 5.300314099862081651e-06 1.357087413678706943e-04 9.061881466165683783e-06 4.903209437518745361e-04 2.359810275050376382e-06 2.944233357434281051e-04 1.576321126567429943e-06 6.926819779651850479e-05 1.631173709784023829e-06 6.749661387220059572e-05 1.397136481128188526e-08 5.478873586119635856e-07 4.503843418806085104e-08 3.984426943221546900e-06 2.321097609707658130e-06 3.905657994772430324e-04 8.202826448159285669e-07 3.007749832509020412e-05 1.874593008350886852e-07 3.743895381508125464e-07
