H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.235180945022611554e-01 1.019002762820859584e-09 1.052632937562653475e-15 3.617658577884350363e-13 6.290815808013446031e-04 6.730596793108377461e-05 2.094052706393558123e-03 1.012598604177693053e-07 2.418009142071595146e-04 1.801485716235361966e-06 6.827390763242604664e-05 3.605280176496175917e-06 1.910286866337462678e-04 6.385242347700654283e-07 9.805672055832882186e-05 3.905331349388092088e-07 2.335074156157162462e-05 5.017874882900888149e-07 2.250507200542750164e-05 2.470252370425039143e-09 2.094673497812504372e-07 1.274495103085336559e-08 1.595259614982859586e-06 8.846647824707636713e-07 1.849500699036257171e-04 2.978037925609994212e-07 1.351078270382917996e-05 2.346323363330520123e-08 7.075794197550574484e-08
1.000000000000000000e+00 3.230786124985680630e-01 1.016867521226603735e-09 3.635943808371929627e-19 3.603083171636824535e-13 3.212528490617209487e-04 2.249147288536529433e-05 1.769580454044625013e-03 1.303910693480968369e-08 4.821102839204375657e-04 3.398663797659956434e-06 1.693698355633330935e-04 6.864925755834143279e-06 1.812844824769495138e-04 6.029142309666590219e-07 8.110813247263035542e-05 1.403682576288780856e-07 1.357141012562976093e-05 6.017837826988905514e-08 1.083515959707191385e-05 5.494716393326778637e-10 2.170467357518371009e-07 2.037985655796678918e-08 3.008577952336117437e-06 9.759482645079495681e-07 1.908882671718154119e-04 2.443218851988689517e-07 6.450123498345728131e-06 2.943913926691239781e-08 1.486081366326109705e-07
1.000000000000000000e+00 3.230777465687068029e-01 1.016871975424713025e-09 3.736005090159096554e-19 2.448118306943683744e-13 3.192890695193424840e-04 2.234279864325060998e-05 1.737154764452939187e-03 1.294444411699741438e-08 4.459433983352752693e-04 3.157258448445158031e-06 1.697423953661264637e-04 6.793735406256968372e-06 1.807713218637947933e-04 6.211914598430608038e-07 7.885115787359055120e-05 1.473233718457711834e-07 1.303723313800011013e-05 6.172338856320056527e-08 1.027876495562981875e-05 5.525866056836893072e-10 2.297420971431305964e-07 2.423994368713195910e-08 2.742671254572634643e-06 9.326812473141582020e-07 1.994359983251005699e-04 3.064595973730737292e-07 7.337512632650913191e-06 3.113922831503273387e-08 2.236403902154191609e-07
1.000000000000000000e+00 3.230774160886020208e-01 1.016875477949768160e-09 3.774358546775549417e-19 1.233687583653618167e-13 3.173486837461452176e-04 2.219475667949105948e-05 1.704735856676164660e-03 1.284896751318213819e-08 4.093802363294430898e-04 2.916823669893172060e-06 1.701676643778155516e-04 6.725050471492862007e-06 1.801526336895515625e-04 6.392374548298899278e-07 7.646927679597776957e-05 1.541463077171359561e-07 1.248051786279737392e-05 6.327506388498757317e-08 9.696006725322427053e-06 5.550159861635094729e-10 2.421962726785530790e-07 2.788178582223441204e-08 2.464973400908878397e-06 8.868618891475317105e-07 2.077381678947141182e-04 3.657626119473416687e-07 8.185630796226048039e-06 3.278881293972687580e-08 2.964281149001962844e-07
1.000000000000000000e+00 3.234353544623804755e-01 1.042688573699802984e-09 2.044289266924068918e-19 1.703149322005784788e-13 4.235794813624999271e-04 1.763750971439820314e-04 1.686319159849672704e-03 4.817973587017508864e-08 4.872002397799639209e-04 3.903897242587003108e-06 1.681976939631094460e-04 7.089794286103974243e-06 1.775326784926169286e-04 5.804919551826254152e-07 7.850903105632754339e-05 1.247379474047557076e-07 1.282182966234219117e-05 5.175883755385747816e-08 1.026751331692141597e-05 4.669764681557664613e-10 2.088404181981742274e-07 1.986077793993426692e-08 2.903029792258863071e-06 9.069870860148945598e-07 1.890995697489042512e-04 2.584938353492445175e-07 6.611994774687065973e-06 2.862532708493484399e-08 1.520966622784301656e-07
1.000000000000000000e+00 3.234354327007979424e-01 1.042695242094964996e-09 2.044271440800045336e-19 1.469452418728015491e-13 4.218092541092864417e-04 1.758986810782279565e-04 1.652814942877450224e-03 4.815688199064838681e-08 4.503143373672924667e-04 3.627462699673221259e-06 1.682123724816001376e-04 6.988651309390599058e-06 1.773634423203778506e-04 6.012083552930032912e-07 7.665902768542543020e-05 1.324329623236112138e-07 1.239127166639937665e-05 5.382943650939748013e-08 9.805818974729229933e-06 4.748717183531340087e-10 2.200998006509277019e-07 2.319907142344128385e-08 2.654333022655303945e-06 8.658689031261593121e-07 1.962033871852087450e-04 3.151462868171166306e-07 7.451036432493170027e-06 2.999126573363194677e-08 2.202749171851638859e-07
1.000000000000000000e+00 3.234361628682507206e-01 1.042701065113963791e-09 2.044249560577540914e-19 1.156672269095750091e-13 4.200573759443789195e-04 1.754099835330569322e-04 1.619557264910121384e-03 4.813734642797576523e-08 4.123880813360961931e-04 3.345896895610009282e-06 1.682608802538677537e-04 6.886747286055634253e-06 1.770669064688521301e-04 6.215213604768640706e-07 7.462751343092878325e-05 1.399010362759795616e-07 1.191337509580704464e-05 5.576697574338049415e-08 9.293942967299744396e-06 4.813761784929905461e-10 2.299204129957824371e-07 2.608219760595392198e-08 2.386774462365342320e-06 8.220251677151490182e-07 2.025659401463497775e-04 3.652724648626925011e-07 8.169378210713008220e-06 3.120611608133538475e-08 2.801168841650145340e-07
1.000000000000000000e+00 3.238755787341015546e-01 1.044081919704036689e-09 1.482470590351537422e-15 3.979651814262002391e-13 6.335704618275824363e-04 1.577033509415513228e-04 1.108654761114542852e-03 4.636918342057125927e-08 2.326026025149381627e-04 1.901059063603411389e-06 6.688003763861880794e-05 3.100789392845780271e-06 1.397508916851931396e-04 4.727500674026244850e-07 4.933629055008005181e-05 1.250439931005001075e-07 8.930734816084796447e-06 7.341645741424036818e-08 7.241262315192567235e-06 4.610816833862668711e-10 1.369367836705534582e-07 8.028713118624793538e-09 1.340214163991191094e-06 7.516349139371745597e-07 1.799703677319886312e-04 3.001074448475079717e-07 1.331143431930881616e-05 7.382578777678334702e-09 4.009729740530642698e-08
1.000000000000000000e+00 3.237932233834595608e-01 1.047204586414919855e-09 2.155514697711940041e-16 2.551555464265358817e-13 8.883484687349300609e-04 2.952724264200603014e-04 3.245653596632120264e-03 2.262051941507509223e-07 2.538663991666974696e-04 2.160485226439487583e-06 6.854775298105191970e-05 4.143804523512304615e-06 2.494603384237596786e-04 9.576951266159238797e-07 1.535167711040940958e-04 6.925292928927500623e-07 3.804590033305661534e-05 8.610192467463739154e-07 3.918550310859691613e-05 5.614058669136316753e-09 2.610624579508041204e-07 1.663649442626669649e-08 1.744437764813175304e-06 8.956064501304290422e-07 1.843062789580406883e-04 3.204707886985778865e-07 1.389713004959696548e-05 5.009539314576653760e-08 1.242521178345330909e-07
