H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.190267729111223027e-01 1.039733512337142168e-09 1.606278619111774563e-16 5.914704692852238691e-14 2.753666489485966616e-04 2.724473984671937590e-05 9.556060657971064904e-04 5.665564676796875540e-08 9.928212724870019972e-05 6.058038758692838272e-07 2.777741546624155113e-05 1.246375864650622470e-06 8.098087022879721299e-05 2.338872106026688150e-07 3.988806624843368141e-05 1.318023781622877798e-07 9.191016182012051806e-06 1.578583905613519432e-07 8.601418054192835506e-06 6.880083402718155130e-10 8.106970294492036437e-08 4.482854158982597631e-09 6.485647658935960480e-07 3.322593727997467874e-07 7.482879122994531449e-05 1.116288614037369691e-07 5.565514768063228160e-06 6.974398352803440536e-09 2.450662483733560942e-08
1.000000000000000000e+00 3.188783807207783982e-01 1.038741573383655953e-09 2.768435226747098933e-19 4.066374850986662809e-14 1.376255256050418826e-04 8.043479208853263838e-06 7.838185918440355136e-04 4.644114010327029866e-09 2.137682625750346628e-04 1.382734505881296520e-06 7.368019673519551665e-05 2.900511225339230734e-06 7.683752793843492209e-05 2.671522219778551378e-07 3.431039852317893657e-05 5.800476993807926616e-08 5.695981934997468621e-06 2.247323059575831660e-08 4.539485054585156305e-06 2.015175392228709950e-10 8.983335499628702955e-08 8.059648013471469413e-09 1.241728919918778211e-06 3.800034517214526759e-07 7.808937811074721119e-05 9.276681496455445384e-08 2.599205764454651478e-06 1.115412450462422762e-08 5.758594052786007120e-08
1.000000000000000000e+00 3.188812075834381310e-01 1.038741319460017075e-09 2.771681497877788165e-19 4.059475340414890012e-14 1.367658172612890347e-04 8.027412333069307789e-06 7.698399942550078869e-04 4.634785337491595680e-09 1.978681854672865179e-04 1.294577339709537607e-06 7.403943818282891602e-05 2.885350155104549772e-06 7.681576775574487301e-05 2.743761563439953047e-07 3.333120329140876165e-05 6.094217625071471859e-08 5.460542186313203979e-06 2.314987202212072970e-08 4.296763373431328767e-06 2.023332254984887459e-10 9.622861077970791885e-08 1.000752157371454342e-08 1.125572417924464325e-06 3.612080688303225450e-07 8.246830845424337278e-05 1.232303203669489880e-07 3.025899872880018180e-06 1.207087882569105897e-08 9.399333764440677601e-08
1.000000000000000000e+00 3.188842391125583098e-01 1.038740694147299591e-09 2.774002183351795848e-19 4.052107094743733031e-14 1.359159329002908605e-04 8.011610709750906006e-06 7.558977701923803080e-04 4.625033359829661776e-09 1.818440361589998013e-04 1.205516781810449310e-06 7.439882208595393221e-05 2.870179714817425716e-06 7.673464835115135910e-05 2.815220846825436867e-07 3.229897629324874703e-05 6.382482677077874817e-08 5.213783048037315484e-06 2.378754329625776476e-08 4.041927761216458013e-06 2.030626366788426147e-10 1.025122607068088814e-07 1.184068911107399967e-08 1.005364598443871364e-06 3.416165164156949439e-07 8.671994466051713586e-05 1.523551286292906389e-07 3.435180149926791308e-06 1.297660570909040825e-08 1.292929185497340827e-07
1.000000000000000000e+00 3.189546684263556697e-01 1.050751918023039357e-09 2.086117427931570850e-19 3.575274756687640255e-14 1.810363713923056415e-04 6.613937563885506177e-05 7.915613771402725497e-04 2.061402314457445132e-08 2.216592903973726525e-04 1.516823363415791079e-06 7.594908408381277566e-05 3.014320763216839293e-06 7.815163174815211377e-05 2.768383931108017860e-07 3.470730061342324472e-05 5.713837438874951525e-08 5.692225767759093439e-06 2.114695091158440633e-08 4.544506784667257306e-06 1.836991814977181759e-10 9.025387538310507955e-08 8.029814174223801519e-09 1.242640622786954960e-06 3.614246377376994719e-07 7.762753220893235456e-05 9.321601550219780799e-08 2.559224878733859422e-06 1.081632047043756940e-08 5.856526764552835304e-08
1.000000000000000000e+00 3.189564165795557571e-01 1.050808261296165258e-09 2.086110803219878286e-19 3.565445020207208372e-14 1.802538561348960059e-04 6.602100924070008028e-05 7.780670202592737672e-04 2.066979564617931992e-08 2.059726930979109997e-04 1.427397483449881815e-06 7.631831903246483087e-05 2.998323003867846094e-06 7.818519256841548908e-05 2.844303238728675252e-07 3.374995685977077786e-05 6.017671146869361841e-08 5.460830539655554598e-06 2.186379633240771815e-08 4.306075795223756163e-06 1.848459332054457484e-10 9.659745293476261112e-08 9.958229407320948017e-09 1.127456154775852306e-06 3.427607676872502499e-07 8.196409612335325823e-05 1.234979497795320831e-07 2.984433907581211173e-06 1.172785387909357476e-08 9.477121730576941952e-08
1.000000000000000000e+00 3.189583222193018708e-01 1.050866180134140833e-09 2.086103272902248337e-19 3.553885526741450391e-14 1.794749815961574617e-04 6.590030923852027787e-05 7.646034012361410843e-04 2.072740510469848118e-08 1.900754038774985551e-04 1.337044255375206151e-06 7.668529630515042079e-05 2.982335248813564323e-06 7.815854230527371886e-05 2.919137394235934829e-07 3.273590397632940378e-05 6.315353496082821185e-08 5.216615441865842751e-06 2.253757901918919510e-08 4.054453758906794582e-06 1.858892349460493628e-10 1.028098075684627833e-07 1.176764056379585917e-08 1.007831201162499573e-06 3.232952374126043304e-07 8.616767132653512364e-05 1.523380683532844779e-07 3.389962599166721184e-06 1.262548935510570140e-08 1.296826721732643070e-07
1.000000000000000000e+00 3.191811771679823329e-01 1.052349787901123996e-09 2.637599732729675032e-16 6.789282530918335787e-14 2.679521939985414730e-04 5.881714634266987121e-05 4.640027953604631259e-04 1.998795952029212219e-08 9.536544177043607519e-05 6.772408876737425360e-07 2.685594589581106196e-05 1.020549479100767730e-06 5.934915140239464679e-05 1.631287179521131914e-07 2.118764544357163205e-05 4.517148479422045298e-08 3.947653441757585742e-06 3.034768521589941101e-08 3.283125242152245957e-06 1.304830532270753692e-10 5.608481987513174408e-08 3.032180695207417257e-09 5.587530175601158717e-07 2.869743085572097634e-07 7.370787741611074589e-05 1.170618535024460765e-07 5.553315899389852862e-06 2.045433761115628250e-09 1.594115431306745338e-08
1.000000000000000000e+00 3.190917572307739314e-01 1.051550531949790266e-09 1.873945316385033675e-17 3.616365428649185732e-14 3.722566716210672002e-04 1.115107904849836715e-04 1.411439201515029933e-03 1.009701057693293547e-07 1.065439893213385555e-04 7.260985415810069225e-07 2.858886487017335359e-05 1.472976624530110734e-06 1.005477951653969856e-04 3.207023178665124225e-07 5.469200834208090941e-05 1.826929183360272880e-07 1.273889180643710907e-05 1.784308109126581653e-07 1.260458660124808704e-05 1.230615447771190205e-09 9.132065240432887039e-08 4.899692608459083605e-09 6.761982249329771416e-07 3.154517360033075907e-07 7.479832824799254618e-05 1.140047495333685308e-07 5.696710582592630495e-06 1.301722231136839290e-08 3.723172015538816991e-08
