H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.286558284518514284e-01 1.002163240919639077e-09 3.816794109012629635e-15 2.585305706277443739e-12 1.014195878469875472e-03 1.186113434103538712e-04 3.329361478425772389e-03 1.562343863886755917e-07 4.030826051059713255e-04 3.623190488651095701e-06 1.159361614530478942e-04 6.906619987394707031e-06 3.177619640807600575e-04 1.233359619023112427e-06 1.675641719187772932e-04 7.651530235918304435e-07 4.038831945985109660e-05 9.791508073049560466e-07 3.918163002963737091e-05 5.393767330000894155e-09 3.737518172670275024e-07 2.538007986114725081e-08 2.758183241863621025e-06 1.623137559437426396e-06 3.146827629895812312e-04 5.416156424354456844e-07 2.279850745544029954e-05 5.581109760210776269e-08 1.457335164453598563e-07
1.000000000000000000e+00 3.279389614048127122e-01 9.987336454625694562e-10 5.243233810406732352e-17 2.881400539799892216e-12 5.142953748279435397e-04 4.501639560474599418e-05 2.729138210609151523e-03 2.624085007547049831e-08 7.481936512201807239e-04 5.995223703576910658e-06 2.682935464443628095e-04 1.146406904728677414e-05 2.996083161615210985e-04 9.310865911014392132e-07 1.336679090874625547e-04 2.335667314883646476e-07 2.253948543955854809e-05 1.117991296615592931e-07 1.805525340106518215e-05 1.050217448709466653e-09 3.671977519780916556e-07 3.652432444421042232e-08 5.088338172899025557e-06 1.703726452789174791e-06 3.213877387029192732e-04 4.571774785161079529e-07 1.092529802005646263e-05 5.621920140342977871e-08 2.794466610089108812e-07
1.000000000000000000e+00 3.279317353502939625e-01 9.987412938935436557e-10 5.248633951945146652e-17 2.301148332953382370e-12 5.111846193227222602e-04 4.450673814416360077e-05 2.672924136074087895e-03 2.571792209933294076e-08 6.899880286948748128e-04 5.500666652586350365e-06 2.676346341765349006e-04 1.123188574903847632e-05 2.978977051547766221e-04 9.631475467762794751e-07 1.302597821034754083e-04 2.451164811023444570e-07 2.175771316914766737e-05 1.147066284259472430e-07 1.721815684466996272e-05 1.062440936017099660e-09 3.819683231041056728e-07 4.104941762858525095e-08 4.674005452469782613e-06 1.635238377076866982e-06 3.308954224804086172e-04 5.353464222160912640e-07 1.207882015037697616e-05 5.746994067669882877e-08 3.752077675156879874e-07
1.000000000000000000e+00 3.279247243800442191e-01 9.987484064333539899e-10 5.250603016986369472e-17 1.661722832971065112e-12 5.081371395556810071e-04 4.399857831034998756e-05 2.616966341096796291e-03 2.516955794475968204e-08 6.308538305208689955e-04 5.010471140087199983e-06 2.671247263251779933e-04 1.100753330732179446e-05 2.960141913542397880e-04 9.947667485332045558e-07 1.265949765076656371e-04 2.564632027373257460e-07 2.092717773486844007e-05 1.177249387311736404e-07 1.632225243961578823e-05 1.072267109358411429e-09 3.958271645177599541e-07 4.529548002913714964e-08 4.228947042762354683e-06 1.561059885195839136e-06 3.399476593197578640e-04 6.098385187475186834e-07 1.317145723707994107e-05 5.866603904529422648e-08 4.678846680130263316e-07
1.000000000000000000e+00 3.284766086066203128e-01 1.042087343885992988e-09 5.236232011038908140e-17 2.450554342036928517e-12 6.754048460659734660e-04 3.093085876780897860e-04 2.535264955063449947e-03 7.987901498402608187e-08 7.592906266614144134e-04 7.044292520849993769e-06 2.622960319009693037e-04 1.178793070463767926e-05 2.841440717757302793e-04 9.103950687070090859e-07 1.248426074380458895e-04 1.989888508317789636e-07 2.027513896883989243e-05 8.969017581026372741e-08 1.625068729588414768e-05 8.453080102160862281e-10 3.383050626520397134e-07 3.416060317510672395e-08 4.732857939340822372e-06 1.545662247701037538e-06 3.169574118695097243e-04 4.922226885550150097e-07 1.192601702165700497e-05 5.382707178694947476e-08 2.806426320053238359e-07
1.000000000000000000e+00 3.284740500540873631e-01 1.042002827728448417e-09 5.236135201698173596e-17 2.090506225114860558e-12 6.723732597501574535e-04 3.082316993540647958e-04 2.475391859115102372e-03 7.943840834154191941e-08 6.989990421943609138e-04 6.476082407753475566e-06 2.609271295402611039e-04 1.150097345653029084e-05 2.831381300196907590e-04 9.451969280307538011e-07 1.222181309867073217e-04 2.118367023538217794e-07 1.969964290944761534e-05 9.381788647611582681e-08 1.560367637535607630e-05 8.698967989866748791e-10 3.513152787643433895e-07 3.792652959476757475e-08 4.354100676989309782e-06 1.481998626174799279e-06 3.241838597457665731e-04 5.614911381595025304e-07 1.298525338310001425e-05 5.442841978600810846e-08 3.661734472438620159e-07
1.000000000000000000e+00 3.284725158249616195e-01 1.041914666734215764e-09 5.236017570870817021e-17 1.681538081831325637e-12 6.693875195660776815e-04 3.070911347808899581e-04 2.415892763772614811e-03 7.898558106200852138e-08 6.366326159628154071e-04 5.895556522917714858e-06 2.596380975498496779e-04 1.121300054770160291e-05 2.819742281378065461e-04 9.792648058355088606e-07 1.192702082600552395e-04 2.242963376438833085e-07 1.903476545882966381e-05 9.770938269458563921e-08 1.486130932530931289e-05 8.908316866233657060e-10 3.613283237207413126e-07 4.102147378487279493e-08 3.936149360351740390e-06 1.413079960086589014e-06 3.300799662021181458e-04 6.213682652783632607e-07 1.384390528369096662e-05 5.481439123541889046e-08 4.385549640905216967e-07
1.000000000000000000e+00 3.290044913856419173e-01 1.042979859113983320e-09 4.120136603338436229e-15 2.480538538099317612e-12 1.021229498040079030e-03 2.776403641964229701e-04 1.847975890822712436e-03 7.253146195815214978e-08 3.950225411131204302e-04 3.527680782300660352e-06 1.142343194290746668e-04 6.002936217491551146e-06 2.294124872762639807e-04 8.871399202880300755e-07 8.106839303850887446e-05 2.321297018974775994e-07 1.440143572227772990e-05 1.253109559836678834e-07 1.147877789571647729e-05 1.040858252201126702e-09 2.301108893286401637e-07 1.416732705116763286e-08 2.216200726872570507e-06 1.307967746432793081e-06 3.010738784297644841e-04 5.209621307367991514e-07 2.200647589891321221e-05 1.726293553967681137e-08 7.111624450443854515e-08
1.000000000000000000e+00 3.290122255990134414e-01 1.050624028200715697e-09 9.895149260270251918e-16 2.271344117182876489e-12 1.488573968052424659e-03 4.822526023479844419e-04 5.210428783431256955e-03 3.471167703707173996e-07 4.025849402965250975e-04 4.133790847102045092e-06 1.132398226129471250e-04 7.398371129263054506e-06 4.116982990609201263e-04 1.862926699805440410e-06 2.509596757623969751e-04 1.301673453219571389e-06 6.034170638713109769e-05 1.444683593399910936e-06 5.996492580424549212e-05 1.132217777485595683e-08 4.547944631688728012e-07 3.449251034612420403e-08 3.153189259934539755e-06 1.748445582096698371e-06 3.143569219634451605e-04 6.293558019270762178e-07 2.419935168255386699e-05 1.319548432931201774e-07 2.795659575927353457e-07
