H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.258537463093160724e-01 1.010174767567212175e-09 2.280002480087739396e-15 7.556613389025173410e-13 7.981742965618184157e-04 9.190080017617626590e-05 2.715793001293489821e-03 1.257554291588510745e-07 3.208516100965977890e-04 2.656277757301791463e-06 9.148135174624347427e-05 5.184290416578859381e-06 2.526710104396261538e-04 9.244565581933082336e-07 1.312380817721798946e-04 5.698427405267965368e-07 3.151287714683304438e-05 7.336912385100324634e-07 3.055986845957412855e-05 3.869764843009503653e-09 2.854744150272056419e-07 1.819777345751407888e-08 2.053800767214106275e-06 1.119071049535006677e-06 2.357280149023367332e-04 4.023967803974856914e-07 1.754109357707272324e-05 3.801365424834518408e-08 1.052948519318348482e-07
1.000000000000000000e+00 3.252824294803374761e-01 1.007361030199758288e-09 2.071973642870232055e-19 9.396857835329728460e-13 3.929700479720975672e-04 3.273237095351620664e-05 2.254781881578644259e-03 1.738505347353443440e-08 6.161445774279821668e-04 4.668041432609908167e-06 2.192478567016937672e-04 9.152252244552641148e-06 2.389651076901658396e-04 7.647154121572963091e-07 1.059916979484743876e-04 1.824425740709429577e-07 1.772434438760904214e-05 8.229434064682614685e-08 1.417618923145730918e-05 7.749736049373715649e-10 2.871302774086460722e-07 2.777580759637443255e-08 3.936129273000549816e-06 1.211039207225610778e-06 2.423678617000742021e-04 3.348470374596015156e-07 8.071675490963226357e-06 4.197845874006522029e-08 2.121274267815198070e-07
1.000000000000000000e+00 3.252785487462718783e-01 1.007367311888830964e-09 2.392060662143582386e-19 5.931249856404961174e-13 3.904347867209326446e-04 3.242338848438597473e-05 2.210689206876507735e-03 1.707406308165918880e-08 5.688190161678429195e-04 4.302165664323751276e-06 2.191490343639421103e-04 9.004096771300439350e-06 2.378655124956047110e-04 7.901015672315407252e-07 1.031452472239834887e-04 1.918024162042662960e-07 1.706186886091126619e-05 8.453854767158976378e-08 1.347476939935963303e-05 7.827536943945965702e-10 3.010856111946347432e-07 3.202480472819792486e-08 3.594143005679546228e-06 1.154982099330996045e-06 2.515467985655585217e-04 4.058352004996483160e-07 9.104239324457813617e-06 4.352819394370454262e-08 2.984932612425150539e-07
1.000000000000000000e+00 3.252750301983901582e-01 1.007373189257751966e-09 2.511339014675794084e-19 2.155701991840660182e-13 3.879374932311806527e-04 3.211406324260970786e-05 2.166706647358768167e-03 1.674942196801899935e-08 5.208380059488627433e-04 3.938912470250209527e-06 2.191511850041100975e-04 8.861258373603481177e-06 2.366201366003224649e-04 8.151325379216489386e-07 1.001047338773392584e-04 2.009871867706539331e-07 1.636411102130330705e-05 8.685045642648172414e-08 1.273119597361699052e-05 7.889835154856061421e-10 3.144950398964861393e-07 3.602656274596642019e-08 3.231136627941577343e-06 1.094774835851876670e-06 2.603847825187575885e-04 4.735166603366026628e-07 1.008668883842942186e-05 4.501879546044681084e-08 3.822351466071555275e-07
1.000000000000000000e+00 3.256665148139704646e-01 1.040297107720016192e-09 3.137121602907235065e-24 5.805546882687792227e-13 5.095524489981262525e-04 2.377488196967363239e-04 2.124137070840968842e-03 5.828961224932603059e-08 6.242746838061179237e-04 5.381076383324459798e-06 2.161156028455030501e-04 9.430626087127205127e-06 2.298579844650214439e-04 7.473362243179068518e-07 1.004549983362318908e-04 1.601351108868582655e-07 1.629483717605140008e-05 6.859145592338500470e-08 1.304449281161787292e-05 6.499816919836456393e-10 2.701278712485572694e-07 2.643830793961002218e-08 3.712835145648301399e-06 1.097530520252854199e-06 2.386463401195730409e-04 3.564304655967586023e-07 8.591901587127913616e-06 4.073945170358762635e-08 2.145360063778285535e-07
1.000000000000000000e+00 3.256649673720696248e-01 1.040276580005737858e-09 3.137072673454226210e-24 4.065968768428078700e-13 5.070495359730335097e-04 2.369540287532495321e-04 2.077687116752950994e-03 5.804520263441687733e-08 5.754868213613417325e-04 4.963269138173762929e-06 2.155162255148672932e-04 9.242540629774518372e-06 2.292969629179407583e-04 7.750854630696373253e-07 9.818409663456487287e-05 1.704276224540814204e-07 1.578171108343963180e-05 7.166462183661683929e-08 1.248095594072893820e-05 6.657003913108636882e-10 2.826477167230511264e-07 3.010346521169597423e-08 3.396052802260270433e-06 1.044771420237018685e-06 2.461194608889447316e-04 4.208744138519568589e-07 9.559989602700387962e-06 4.180695644965223533e-08 2.931863454039637468e-07
1.000000000000000000e+00 3.256642822515938840e-01 1.040254722292140572e-09 3.137014486597050327e-24 2.121291870908264679e-13 5.045704085373371815e-04 2.361329757845999399e-04 2.031548673421139373e-03 5.780056617674876684e-08 5.251816914864736565e-04 4.537158050566723935e-06 2.149755801463932811e-04 9.053832480444326921e-06 2.285980358256680842e-04 8.022742805973911730e-07 9.566419706999790469e-05 1.804148239714308373e-07 1.520113517917217454e-05 7.455221319046983373e-08 1.184568408205532608e-05 6.789365042512319498e-10 2.930261119482440127e-07 3.321598919911089431e-08 3.050787010335828840e-06 9.880588871642000440e-07 2.525879132497496128e-04 4.775150928797746759e-07 1.037094868287438987e-05 4.269951390618692131e-08 3.613599128885279792e-07
1.000000000000000000e+00 3.261473482365372933e-01 1.041858775794689765e-09 2.604696455861706441e-15 7.096730816345847675e-13 7.853385723767805290e-04 2.119512854072607767e-04 1.469354085686954249e-03 5.338331979738557491e-08 3.091966684859623034e-04 2.599302766362174682e-06 8.949908230074766981e-05 4.425891482359405044e-06 1.827491656022482312e-04 6.629481589715538106e-07 6.356246325300061539e-05 1.726717639949843640e-07 1.135904562292389325e-05 9.669897068732517115e-08 9.125640088149409912e-06 7.174460175172703226e-10 1.786723328745997272e-07 1.046917482369598702e-08 1.665145716008324616e-06 8.984493048741708950e-07 2.260988850659316116e-04 3.925500079130131909e-07 1.704092893382600917e-05 1.156082444215794353e-08 5.433900164218166662e-08
1.000000000000000000e+00 3.261212108443519719e-01 1.046427643062239695e-09 5.447175653486086277e-16 5.526872952104619849e-13 1.150265569955292522e-03 3.849845522668816390e-04 4.230449644012561870e-03 2.787529109420316090e-07 3.257065866243057063e-04 3.048286812733398518e-06 9.026385302280119823e-05 5.703396636137939710e-06 3.280417127304229648e-04 1.389494330130721080e-06 1.992027352333163080e-04 9.775211822823676781e-07 4.845511573424032288e-05 1.125746022448835296e-06 4.884607498860964105e-05 8.289375299315997238e-09 3.508845216783198838e-07 2.456156014636162929e-08 2.317592522498928061e-06 1.179234362527002512e-06 2.342273932193189687e-04 4.539395552696182906e-07 1.836155279795839858e-05 8.810102275691061661e-08 1.971450779893725170e-07
1.000000000000000000e+00 3.262099524987119858e-01 1.046617623950318885e-09 3.394731668131883540e-16 1.708551594941797410e-13 9.523362284028233718e-04 3.576789347000312413e-04 4.405314085960442341e-03 2.949250755558208855e-07 4.149977037174115029e-04 5.339353940997375646e-06 1.430124562732809905e-04 5.544237596106535365e-06 6.933701906120657470e-04 2.958543576396866934e-06 5.241176156289111812e-04 2.611004941649410947e-06 1.391866915216937947e-04 3.667718925368139141e-06 1.223320788080309361e-04 1.128588000034446025e-08 1.057173359537661196e-06 8.945897686367237962e-08 4.323952063821255917e-06 3.055470645184194025e-06 2.765009271607843442e-04 5.355577621436748872e-07 2.144379363509395743e-05 6.216578769985673473e-08 1.454255656569813905e-07
1.000000000000000000e+00 3.261105895403595412e-01 1.042887938237383196e-09 2.564168039926546371e-15 8.440329520755613262e-13 9.210742735111910424e-04 2.950370244755751593e-04 2.688406708109763489e-03 1.545859897359824199e-07 3.396930310032575395e-04 2.998773241688437260e-06 9.524157229023328785e-05 5.452406356863850218e-06 2.515412920703474363e-04 9.952841791275200901e-07 1.284885277304762690e-04 5.429183170091119337e-07 2.961785041953425972e-05 6.344883691916097304e-07 2.842933659555860694e-05 3.674926684043538775e-09 2.699086268371969938e-07 1.677307954906037453e-08 1.933824311955499972e-06 1.018007766610427043e-06 2.298989958872179066e-04 4.128138490959333516e-07 1.745460646638794880e-05 3.572796333987126747e-08 9.960854835408194399e-08
