H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.288616132562095506e-01 9.983058460426549975e-10 3.895140765256545735e-15 1.932608872670984066e-12 1.023016285434883918e-03 1.214461363420813990e-04 3.379411835783114725e-03 1.560903395513596351e-07 4.095917909764240097e-04 3.703328015671528417e-06 1.180048672298206203e-04 7.041480522916144602e-06 3.226419679508619629e-04 1.254375486843168171e-06 1.698884920693667362e-04 7.778151064250696618e-07 4.097325220272853854e-05 9.951088565869059007e-07 3.976604302399772687e-05 5.487151341977301007e-09 3.798299322675267259e-07 2.580261358435830454e-08 2.773395424862064728e-06 1.612431645771558214e-06 3.158588222438184125e-04 5.487769850798420565e-07 2.303034058919660411e-05 5.714619235991591553e-08 1.489672589050270392e-07
1.000000000000000000e+00 3.281386144602977950e-01 9.947927866989112427e-10 2.580323616713475445e-17 2.202906179228385898e-12 5.143358411460548143e-04 4.668119871888260598e-05 2.776236522010355149e-03 2.635055731484359894e-08 7.611470565208990676e-04 6.118000914900010885e-06 2.730628852776472186e-04 1.168860050665490398e-05 3.044855400907775034e-04 9.506019859646086936e-07 1.356049011090906906e-04 2.387251705612528947e-07 2.285057707941402270e-05 1.144003271213426714e-07 1.829589568148472004e-05 1.083761027028780295e-09 3.734353475704928861e-07 3.713712306380158525e-08 5.143595125741265821e-06 1.692427876300340935e-06 3.226077593450465682e-04 4.618613090530556208e-07 1.092997691943767567e-05 5.749562813953932894e-08 2.851300251003994481e-07
1.000000000000000000e+00 3.281317591107998921e-01 9.947967123772599464e-10 2.585716069054791244e-17 1.621101406427917778e-12 5.111499399246405284e-04 4.613648031415408448e-05 2.719075869695604213e-03 2.580285218320368610e-08 7.020122982328995441e-04 5.615707207275430409e-06 2.724066715433663189e-04 1.145244874293014702e-05 3.027627443936419817e-04 9.830215106326078757e-07 1.321396400127222118e-04 2.503712989265046304e-07 2.205570053616660699e-05 1.173150593342836612e-07 1.744547880475236671e-05 1.095663165386313875e-09 3.884455808552693052e-07 4.174680177379090427e-08 4.722685206846775052e-06 1.622696748805432195e-06 3.322875837458831865e-04 5.414005536395327566e-07 1.210269536000149107e-05 5.874148893856437285e-08 3.825769969943449839e-07
1.000000000000000000e+00 3.281250617439872008e-01 9.948001610811374755e-10 2.587674808603575420e-17 9.800845416171265013e-13 5.080327605054486047e-04 4.559414905810292817e-05 2.662201746114677310e-03 2.522997196755800874e-08 6.419373348018902895e-04 5.117823551641460521e-06 2.719013093977033779e-04 1.122422103174300946e-05 3.008673688941753701e-04 1.015006417745247652e-06 1.284150128505207196e-04 2.618150908668782685e-07 2.121053781596886180e-05 1.203291141071390088e-07 1.653465480056215184e-05 1.105148182714611776e-09 4.025254066166610588e-07 4.607206660269661072e-08 4.270473508197301141e-06 1.547229684779084689e-06 3.415044521296121396e-04 6.172596876285687365e-07 1.321410591745274378e-05 5.994053288834824012e-08 4.768911872553890580e-07
1.000000000000000000e+00 3.287057151036927305e-01 1.040360559061321775e-09 2.564153244935187949e-17 1.776213639618674547e-12 6.851832422475662068e-04 3.229654466040473995e-04 2.584507715670396420e-03 8.348194708218834704e-08 7.743902767684382633e-04 7.156766663060838684e-06 2.675021632480313323e-04 1.201088936248916980e-05 2.888498269280080416e-04 9.297865158498922928e-07 1.267100568651498347e-04 2.016279503294583497e-07 2.052512648506851019e-05 9.035585050235502181e-08 1.644779530884785861e-05 8.576759200198160439e-10 3.429397475204383322e-07 3.454713557278464790e-08 4.772313278478415348e-06 1.519265050782046318e-06 3.171524857702115062e-04 4.965440603491349985e-07 1.188507871772214865e-05 5.452114167266074387e-08 2.848948259017345847e-07
1.000000000000000000e+00 3.287026809600478994e-01 1.040264314245934062e-09 2.564098911183252585e-17 1.413343970646175626e-12 6.820000598533603213e-04 3.218841280157250652e-04 2.524123063387161050e-03 8.300206597559887890e-08 7.132303754000728167e-04 6.582340593285135681e-06 2.661790650995176960e-04 1.172291969850684261e-05 2.878635350358475678e-04 9.650323379756360142e-07 1.240303628067786418e-04 2.146490235383806621e-07 1.993655235438249510e-05 9.451028126409741260e-08 1.578727275558901568e-05 8.820745310290718789e-10 3.563243368144090592e-07 3.842888544332339870e-08 4.386867527079914941e-06 1.454434328022560098e-06 3.246214705992388119e-04 5.675818106779434182e-07 1.297016737880156164e-05 5.517512331709255975e-08 3.725870991850056424e-07
1.000000000000000000e+00 3.287006163572386286e-01 1.040156689073892922e-09 2.564033886003663282e-17 9.969754957204577975e-13 6.788613785437051752e-04 3.207207167492163806e-04 2.464147252407284175e-03 8.250560980062200917e-08 6.499688529334068541e-04 5.995742175004698738e-06 2.649384062469241114e-04 1.143415712011255546e-05 2.867122077599714466e-04 9.995284089996096798e-07 1.210207580350070825e-04 2.272756015352214432e-07 1.925725112458789295e-05 9.842359017030491099e-08 1.503007097911430473e-05 9.027888270230730330e-10 3.666985628225431001e-07 4.162776116534785292e-08 3.961789354932839973e-06 1.384284706239081008e-06 3.307499628807477102e-04 6.290570709890998098e-07 1.385240991952038635e-05 5.561140983468389062e-08 4.469480623942935454e-07
1.000000000000000000e+00 3.292445061861063449e-01 1.041061807619858221e-09 4.100864138762546424e-15 1.794192805282428759e-12 1.034768615810406720e-03 2.900905792994192076e-04 1.874685606876088295e-03 7.554554780548595951e-08 4.011349711818518291e-04 3.573612026356680677e-06 1.161738777812467777e-04 6.093921491396207640e-06 2.328200220243466039e-04 9.010648822498801434e-07 8.190462756177409288e-05 2.341178844237900472e-07 1.450814664356437801e-05 1.263985384162795142e-07 1.156310498897529848e-05 1.044494493097450102e-09 2.324849744256846052e-07 1.419124181926629259e-08 2.208826048268533132e-06 1.277744408128543398e-06 3.009967548693885577e-04 5.263413805118000873e-07 2.218462283511737684e-05 1.723517081906001148e-08 7.188630642116166667e-08
1.000000000000000000e+00 3.292685276038870290e-01 1.049113186046935340e-09 9.908410757821610579e-16 1.609032301991834129e-12 1.516164900508389394e-03 4.986789365541007771e-04 5.308891944966181303e-03 3.544462518822879477e-07 4.112861213967459193e-04 4.237367385249723135e-06 1.155368180990939346e-04 7.566527098318980895e-06 4.195326399972265142e-04 1.905387963913711235e-06 2.559696222556920027e-04 1.328735020134821029e-06 6.157684137959351428e-05 1.476780091030115282e-06 6.129140966623830339e-05 1.156500040944889386e-08 4.625609979428767875e-07 3.510019295398384520e-08 3.169573709673613043e-06 1.732733103460748083e-06 3.151843250206903032e-04 6.408642907989820721e-07 2.446953838953580627e-05 1.351770517082564652e-07 2.856330993023262976e-07
1.000000000000000000e+00 3.294781424338824594e-01 1.050270368339364328e-09 6.387651281810949264e-16 9.678775637340384826e-13 1.308122361494381842e-03 4.659051068284794585e-04 5.555899647867713897e-03 3.897295617449461331e-07 5.244099426024552771e-04 7.246566125430384260e-06 1.789381930829154739e-04 7.466722497992058321e-06 8.450132540900216283e-04 3.808514702836679040e-06 6.278604923626789980e-04 3.221601943304364087e-06 1.643010900755717551e-04 4.336300325772601309e-06 1.435140282654710948e-04 1.557976998017677281e-08 1.266983584484502486e-06 1.137745138706946455e-07 5.554667072787652902e-06 4.089157085822447634e-06 3.707114119714498691e-04 7.602912119030755450e-07 2.842660417825569933e-05 1.057485805694753792e-07 2.291810122899344642e-07
1.000000000000000000e+00 3.292285538503839648e-01 1.044100108123381152e-09 4.230165997063421692e-15 2.043784640558057091e-12 1.202534158686398335e-03 3.919970536810780774e-04 3.336946769058359019e-03 1.987307044873296788e-07 4.347790844608060714e-04 4.118949673658639002e-06 1.223929693785576526e-04 7.327566492011637328e-06 3.186839082180293182e-04 1.333675891107300373e-06 1.641652739694958235e-04 7.234570436826195788e-07 3.757580384562079611e-05 8.282305245097783558e-07 3.596485789622957041e-05 5.103152324360643586e-09 3.497696725606222716e-07 2.289352760431759297e-08 2.583992204297390138e-06 1.452910525513785678e-06 3.072357256413974424e-04 5.650099187026712910e-07 2.287353071369484269e-05 5.224742154196291048e-08 1.368124728957911409e-07
