H He Li Be B C N O F Ne Na Mg Al Si P S Cl Ar K Ca Sc Ti V Cr Mn Fe Co Ni Cu Zn 
1.000000000000000000e+00 1.000000000000000056e-01 2.039999999999999986e-09 2.629999999999999901e-11 6.170000000000000407e-10 2.449999999999999921e-04 8.509999999999999498e-05 4.899999999999999842e-04 3.019999999999999911e-08 1.000000000000000048e-04 2.139999999999999840e-06 3.470000000000000319e-05 2.950000000000000131e-06 3.470000000000000319e-05 3.200000000000000067e-07 1.840000000000000001e-05 1.910000000000000030e-07 2.510000000000000109e-06 1.319999999999999909e-07 2.290000000000000098e-06 1.480000000000000059e-09 1.050000000000000005e-07 1.000000000000000021e-08 4.680000000000000085e-07 2.879999999999999848e-07 2.820000000000000105e-05 8.320000000000000386e-08 1.779999999999999898e-06 1.619999999999999948e-08 3.979999999999999905e-08
1.000000000000000000e+00 3.189029865899014049e-01 1.042175720294005605e-09 1.829674748237419771e-16 6.060405348053437844e-14 2.628473892856937133e-04 2.777784215173701644e-05 9.886891241895868435e-04 5.535546851849696997e-08 1.025370086160679668e-04 6.204935636123910305e-07 2.858686162418156275e-05 1.298048718877192629e-06 8.250927220622235781e-05 2.424241426702356907e-07 4.020444004333215262e-05 1.357117523095456940e-07 9.290501846637079264e-06 1.643148561279552121e-07 8.738899268750788596e-06 7.219087685460526874e-10 8.050586827884796182e-08 4.210993729666009722e-09 5.805745947223763313e-07 2.458742427066825521e-07 6.658810631585628556e-05 1.046423643568925299e-07 5.285609824174367566e-06 6.946108592789841813e-09 2.474646243134849800e-08
1.000000000000000000e+00 3.187505672472396578e-01 1.041131475773217579e-09 7.103397334189506504e-20 3.827404579762632498e-14 1.193633772894372839e-04 7.950538277771619259e-06 8.174426404940845657e-04 2.676847304950102609e-09 2.232749869315787017e-04 1.433935629678588495e-06 7.643237777133860076e-05 2.998449243619742634e-06 7.814036457894863526e-05 2.710557859473936490e-07 3.434652914644078852e-05 5.692311069450767967e-08 5.636916276049265492e-06 2.123046842683956832e-08 4.489695559297577139e-06 1.991605857845688771e-10 8.950997263219655613e-08 7.918648723809849800e-09 1.201089134838634191e-06 2.961009505937821824e-07 7.007309709870084295e-05 8.522651560928494741e-08 2.211354036801756748e-06 1.127783970181630201e-08 5.899257793317188183e-08
1.000000000000000000e+00 3.187532830979610821e-01 1.041130541361020675e-09 7.141789980608943527e-20 3.762115892422450904e-14 1.184338503147752659e-04 7.937195378875787986e-06 8.026252317798963356e-04 2.662382443959614097e-09 2.064295770191372763e-04 1.339354068319175857e-06 7.680361259683690807e-05 2.981618920742301545e-06 7.810700816737461635e-05 2.787785505355035399e-07 3.331158226870426062e-05 6.005927601927527097e-08 5.388266580518205482e-06 2.195800582225729187e-08 4.232993445009882126e-06 2.002096825730641464e-10 9.625013017980251601e-08 9.970286068672385019e-09 1.078148223335336971e-06 2.762438655022941196e-07 7.468329139902359342e-05 1.173575843569788303e-07 2.661616748973680297e-06 1.224418341085446009e-08 9.736268123993076831e-08
1.000000000000000000e+00 3.187562035052033393e-01 1.041129187389519329e-09 7.167902352488136144e-20 3.686143486463262415e-14 1.175127240986554753e-04 7.924199423805371211e-06 7.878407028822133080e-04 2.647933081963271044e-09 1.894486974106217856e-04 1.243933537867242586e-06 7.717683958190361450e-05 2.964865437840879746e-06 7.801209765530646011e-05 2.864168286231548083e-07 3.222101183057768435e-05 6.313775504570531943e-08 5.127923116405333280e-06 2.264769045658364312e-08 3.963708993345639167e-06 2.011540141770867564e-10 1.028742281697393991e-07 1.190158684648471016e-08 9.509205834401137582e-07 2.555337847468109776e-07 7.916035719294282045e-05 1.480719857887082727e-07 3.093366283075485122e-06 1.319798460084485268e-08 1.345755747540744330e-07
1.000000000000000000e+00 3.187077438253810846e-01 1.050422892084666193e-09 3.236027324397978334e-24 3.239536462446900220e-14 1.335131171105119420e-04 5.819766484659722166e-05 8.204445199083026420e-04 9.948713478717959654e-09 2.268954350443966816e-04 1.496914981509187760e-06 7.810958534235946937e-05 3.098783983050691859e-06 7.924029625420536509e-05 2.782453177398355804e-07 3.462316928955462092e-05 5.639021407342899446e-08 5.629609540109364390e-06 2.036862637756602333e-08 4.489383404226020680e-06 1.887424127477461567e-10 9.009009467477108077e-08 7.931830490822695856e-09 1.200777848217611140e-06 2.793871075152587743e-07 6.963169712868805337e-05 8.571989736678359603e-08 2.178987573767525713e-06 1.117164704139576144e-08 6.028499885327068931e-08
1.000000000000000000e+00 3.187092531211810909e-01 1.050485376534150513e-09 3.236017249321637260e-24 3.213714880726042157e-14 1.325439494583056726e-04 5.809373960913934197e-05 8.060913053987522848e-04 9.952476245720682833e-09 2.102158351034685065e-04 1.399709483213075276e-06 7.847914737829886052e-05 3.080197705969370127e-06 7.927459839127491269e-05 2.864000973606519165e-07 3.362461753393863943e-05 5.963177868873360962e-08 5.388385102113073292e-06 2.113857647146786447e-08 4.240171223481646631e-06 1.900885602846324178e-10 9.672178846900162282e-08 9.946125591423178163e-09 1.079308246719094587e-06 2.596793666051297968e-07 7.415152392379345753e-05 1.175174844973735659e-07 2.626490543403139263e-06 1.212051325483010049e-08 9.822440339049106867e-08
1.000000000000000000e+00 3.187109244607106984e-01 1.050550525282643705e-09 3.236005657031456847e-24 3.177511959983151783e-14 1.315755553362359944e-04 5.798784408478536989e-05 7.917892072484393213e-04 9.956536247229746975e-09 1.932919255048356957e-04 1.301418197845735915e-06 7.884843970886017139e-05 3.061611164844667493e-06 7.924540335470620729e-05 2.944425652609877605e-07 3.256435557220717798e-05 6.280608013242674471e-08 5.132992400711645938e-06 2.186154783289263747e-08 3.976330804099785441e-06 1.912849133976963636e-10 1.031701432514451906e-07 1.182486588884917217e-08 9.528845119012218258e-07 2.391025641723318181e-07 7.851177061789433361e-05 1.476321625648646600e-07 3.050109291724699958e-06 1.304942746851770991e-08 1.345634132428691759e-07
1.000000000000000000e+00 3.189309309370936263e-01 1.052025412387980432e-09 2.827763667129560831e-16 6.610057323874739753e-14 2.223827727317048491e-04 5.083945344063649837e-05 4.802320077559905443e-04 8.312885856573391478e-09 9.463059765743881834e-05 6.053156736441586538e-07 2.729918504216123783e-05 1.044571610428971637e-06 5.995887616891250549e-05 1.661551738600081819e-07 2.067439834566974559e-05 4.473505655723535598e-08 3.820194929403836507e-06 2.981749483420006746e-08 3.176269821610870088e-06 1.335210918879894619e-10 5.464532364772405430e-08 2.737114321917010181e-09 4.903241884530150950e-07 2.016737894190785624e-07 6.548598750603893694e-05 1.098308902074483055e-07 5.267015103761219167e-06 1.973386501421004545e-09 1.598413833803234725e-08
1.000000000000000000e+00 3.188449363473964127e-01 1.051123017862859770e-09 2.246645045058227092e-17 3.451249171557234042e-14 3.338164083870257654e-04 1.048657007142566580e-04 1.460110507889084011e-03 9.280270889718083159e-08 1.057490501745374375e-04 6.624554853455045249e-07 2.900289160574583253e-05 1.516358044781194194e-06 1.027838661765441403e-04 3.325601907877684962e-07 5.567447340259317737e-05 1.914088388914584339e-07 1.305448759334022127e-05 1.914140131931101349e-07 1.299019408260493830e-05 1.317965465260722067e-09 9.195145509519846647e-08 4.727596025163402153e-09 6.131121751091988696e-07 2.320117432642851792e-07 6.650440094032984500e-05 1.064090841314481815e-07 5.408471525629780765e-06 1.358436904923935822e-08 3.855086673177457599e-08
